COG ID	COG Name	Gene Count
COG0001	Glutamate-1-semialdehyde aminotransferase	106
COG0002	N-acetyl-gamma-glutamylphosphate reductase	64
COG0003	Anion-transporting ATPase, ArsA/GET3 family	14
COG0004	Ammonia channel protein AmtB	106
COG0005	Purine nucleoside phosphorylase	43
COG0006	Xaa-Pro aminopeptidase	108
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	35
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	209
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	112
COG0010	Arginase family enzyme	74
COG0011	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family	1
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	119
COG0013	Alanyl-tRNA synthetase	189
COG0014	Gamma-glutamyl phosphate reductase	71
COG0015	Adenylosuccinate lyase	80
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	117
COG0017	Aspartyl/asparaginyl-tRNA synthetase	63
COG0018	Arginyl-tRNA synthetase	166
COG0019	Diaminopimelate decarboxylase	112
COG0020	Undecaprenyl pyrophosphate synthase	95
COG0021	Transketolase	101
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	74
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	18
COG0024	Methionine aminopeptidase	143
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	21
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	57
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	11
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	167
COG0029	Aspartate oxidase	52
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	108
COG0031	Cysteine synthase	82
COG0033	Phosphoglucomutase	13
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	85
COG0035	Uracil phosphoribosyltransferase	38
COG0036	Pentose-5-phosphate-3-epimerase	124
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	76
COG0038	H+/Cl- antiporter ClcA	24
COG0039	Malate/lactate dehydrogenase	63
COG0040	ATP phosphoribosyltransferase	55
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	59
COG0042	tRNA-dihydrouridine synthase	132
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	28
COG0044	Dihydroorotase or related cyclic amidohydrolase	90
COG0045	Succinyl-CoA synthetase, beta subunit	63
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	76
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	54
COG0048	Ribosomal protein S12	115
COG0049	Ribosomal protein S7	108
COG0050	Translation elongation factor EF-Tu, a GTPase	186
COG0051	Ribosomal protein S10	102
COG0052	Ribosomal protein S2	137
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	38
COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	54
COG0055	FoF1-type ATP synthase, beta subunit	148
COG0056	FoF1-type ATP synthase, alpha subunit	150
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	168
COG0058	Glucan phosphorylase	58
COG0059	Ketol-acid reductoisomerase	66
COG0060	Isoleucyl-tRNA synthetase	183
COG0061	NAD kinase	74
COG0062	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	16
COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	35
COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	145
COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	62
COG0066	3-isopropylmalate dehydratase small subunit	52
COG0067	Glutamate synthase domain 1	49
COG0068	Hydrogenase maturation factor HypF (carbamoyltransferase)	5
COG0069	Glutamate synthase domain 2	54
COG0070	Glutamate synthase domain 3	40
COG0071	Molecular chaperone IbpA, HSP20 family	108
COG0072	Phenylalanyl-tRNA synthetase beta subunit	143
COG0073	tRNA-binding EMAP/Myf domain	100
COG0074	Succinyl-CoA synthetase, alpha subunit	76
COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	43
COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	25
COG0077	Prephenate dehydratase	70
COG0078	Ornithine carbamoyltransferase	66
COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	79
COG0080	Ribosomal protein L11	110
COG0081	Ribosomal protein L1	84
COG0082	Chorismate synthase	61
COG0083	Homoserine kinase	29
COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	125
COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	339
COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	253
COG0087	Ribosomal protein L3	123
COG0088	Ribosomal protein L4	124
COG0089	Ribosomal protein L23	100
COG0090	Ribosomal protein L2	125
COG0091	Ribosomal protein L22	103
COG0092	Ribosomal protein S3	134
COG0093	Ribosomal protein L14	114
COG0094	Ribosomal protein L5	119
COG0095	Lipoate-protein ligase A	17
COG0096	Ribosomal protein S8	121
COG0097	Ribosomal protein L6P/L9E	129
COG0098	Ribosomal protein S5	118
COG0099	Ribosomal protein S13	105
COG0100	Ribosomal protein S11	101
COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	56
COG0102	Ribosomal protein L13	107
COG0103	Ribosomal protein S9	113
COG0104	Adenylosuccinate synthase	110
COG0105	Nucleoside diphosphate kinase	105
COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	55
COG0107	Imidazole glycerol phosphate synthase subunit HisF	66
COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	50
COG0109	Polyprenyltransferase (heme O synthase)	60
COG0110	Acetyltransferase (isoleucine patch superfamily)	85
COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	125
COG0112	Glycine/serine hydroxymethyltransferase	145
COG0113	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	58
COG0114	Fumarate hydratase class II	31
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	119
COG0116	23S rRNA G2445 N2-methylase RlmL	25
COG0117	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD	46
COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	63
COG0119	Isopropylmalate/homocitrate/citramalate synthases	116
COG0120	Ribose 5-phosphate isomerase	17
COG0121	Predicted glutamine amidotransferase	20
COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	51
COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase	40
COG0124	Histidyl-tRNA synthetase	176
COG0125	Thymidylate kinase	120
COG0126	3-phosphoglycerate kinase	155
COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	76
COG0128	5-enolpyruvylshikimate-3-phosphate synthase	76
COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	125
COG0130	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	117
COG0131	Imidazoleglycerol phosphate dehydratase HisB	44
COG0132	Dethiobiotin synthetase	27
COG0133	Tryptophan synthase beta chain	65
COG0134	Indole-3-glycerol phosphate synthase	49
COG0135	Phosphoribosylanthranilate isomerase	39
COG0136	Aspartate-semialdehyde dehydrogenase	67
COG0137	Argininosuccinate synthase	67
COG0138	AICAR transformylase/IMP cyclohydrolase PurH	92
COG0139	Phosphoribosyl-AMP cyclohydrolase	42
COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	43
COG0141	Histidinol dehydrogenase	71
COG0142	Geranylgeranyl pyrophosphate synthase	151
COG0143	Methionyl-tRNA synthetase	146
COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	96
COG0145	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	29
COG0146	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit	19
COG0147	Anthranilate/para-aminobenzoate synthases component I	121
COG0148	Enolase	113
COG0149	Triosephosphate isomerase	127
COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	75
COG0151	Phosphoribosylamine-glycine ligase	79
