COG ID	COG Name	Gene Count
COG0001	Glutamate-1-semialdehyde aminotransferase	177
COG0002	N-acetyl-gamma-glutamylphosphate reductase	93
COG0003	Anion-transporting ATPase, ArsA/GET3 family	45
COG0004	Ammonia channel protein AmtB	170
COG0005	Purine nucleoside phosphorylase	67
COG0006	Xaa-Pro aminopeptidase	132
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	65
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	185
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	59
COG0010	Arginase family enzyme	100
COG0011	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family	16
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	110
COG0013	Alanyl-tRNA synthetase	199
COG0014	Gamma-glutamyl phosphate reductase	89
COG0015	Adenylosuccinate lyase	99
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	96
COG0017	Aspartyl/asparaginyl-tRNA synthetase	128
COG0018	Arginyl-tRNA synthetase	142
COG0019	Diaminopimelate decarboxylase	121
COG0020	Undecaprenyl pyrophosphate synthase	78
COG0021	Transketolase	123
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	150
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	8
COG0024	Methionine aminopeptidase	64
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	6
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	39
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	4
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	409
COG0029	Aspartate oxidase	88
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	69
COG0031	Cysteine synthase	196
COG0033	Phosphoglucomutase	10
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	134
COG0035	Uracil phosphoribosyltransferase	13
COG0036	Pentose-5-phosphate-3-epimerase	48
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	64
COG0038	H+/Cl- antiporter ClcA	13
COG0039	Malate/lactate dehydrogenase	83
COG0040	ATP phosphoribosyltransferase	56
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	39
COG0042	tRNA-dihydrouridine synthase	41
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	156
COG0044	Dihydroorotase or related cyclic amidohydrolase	160
COG0045	Succinyl-CoA synthetase, beta subunit	124
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	186
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	75
COG0048	Ribosomal protein S12	38
COG0049	Ribosomal protein S7	50
