COG ID	COG Name	Gene Count
COG0001	Glutamate-1-semialdehyde aminotransferase	1052
COG0002	N-acetyl-gamma-glutamylphosphate reductase	542
COG0003	Anion-transporting ATPase, ArsA/GET3 family	160
COG0004	Ammonia channel protein AmtB	1082
COG0005	Purine nucleoside phosphorylase	573
COG0006	Xaa-Pro aminopeptidase	2076
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	321
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	1451
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	618
COG0010	Arginase family enzyme	814
COG0011	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family	34
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	781
COG0013	Alanyl-tRNA synthetase	1268
COG0014	Gamma-glutamyl phosphate reductase	602
COG0015	Adenylosuccinate lyase	867
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	658
COG0017	Aspartyl/asparaginyl-tRNA synthetase	424
COG0018	Arginyl-tRNA synthetase	865
COG0019	Diaminopimelate decarboxylase	959
COG0020	Undecaprenyl pyrophosphate synthase	595
COG0021	Transketolase	887
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	1072
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	154
COG0024	Methionine aminopeptidase	674
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	307
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	368
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	142
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	3931
COG0029	Aspartate oxidase	393
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	574
COG0031	Cysteine synthase	1075
COG0033	Phosphoglucomutase	24
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	843
COG0035	Uracil phosphoribosyltransferase	201
COG0036	Pentose-5-phosphate-3-epimerase	632
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	652
COG0038	H+/Cl- antiporter ClcA	285
COG0039	Malate/lactate dehydrogenase	717
COG0040	ATP phosphoribosyltransferase	481
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	553
COG0042	tRNA-dihydrouridine synthase	899
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	937
COG0044	Dihydroorotase or related cyclic amidohydrolase	1373
COG0045	Succinyl-CoA synthetase, beta subunit	928
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	994
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	577
