COG ID	COG Name	Gene Count
COG0001	Glutamate-1-semialdehyde aminotransferase	53
COG0002	N-acetyl-gamma-glutamylphosphate reductase	31
COG0003	Anion-transporting ATPase, ArsA/GET3 family	12
COG0004	Ammonia channel protein AmtB	25
COG0005	Purine nucleoside phosphorylase	35
COG0006	Xaa-Pro aminopeptidase	57
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	14
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	65
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	32
COG0010	Arginase family enzyme	12
COG0011	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family	1
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	50
COG0013	Alanyl-tRNA synthetase	106
COG0014	Gamma-glutamyl phosphate reductase	37
COG0015	Adenylosuccinate lyase	52
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	32
COG0017	Aspartyl/asparaginyl-tRNA synthetase	46
COG0018	Arginyl-tRNA synthetase	59
COG0019	Diaminopimelate decarboxylase	52
COG0020	Undecaprenyl pyrophosphate synthase	26
COG0021	Transketolase	30
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	66
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	5
COG0024	Methionine aminopeptidase	21
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	1
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	3
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	74
COG0029	Aspartate oxidase	56
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	23
COG0031	Cysteine synthase	59
COG0033	Phosphoglucomutase	16
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	69
COG0035	Uracil phosphoribosyltransferase	8
COG0036	Pentose-5-phosphate-3-epimerase	21
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	20
COG0038	H+/Cl- antiporter ClcA	8
COG0039	Malate/lactate dehydrogenase	37
COG0040	ATP phosphoribosyltransferase	16
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	14
COG0042	tRNA-dihydrouridine synthase	25
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	49
COG0044	Dihydroorotase or related cyclic amidohydrolase	53
COG0045	Succinyl-CoA synthetase, beta subunit	41
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	63
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	27
COG0048	Ribosomal protein S12	19
COG0049	Ribosomal protein S7	36
COG0050	Translation elongation factor EF-Tu, a GTPase	72
COG0051	Ribosomal protein S10	18
COG0052	Ribosomal protein S2	29
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	34
COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	7
