COG ID	COG Name	Gene Count
COG0001	Glutamate-1-semialdehyde aminotransferase	349
COG0002	N-acetyl-gamma-glutamylphosphate reductase	177
COG0003	Anion-transporting ATPase, ArsA/GET3 family	239
COG0004	Ammonia channel protein AmtB	359
COG0005	Purine nucleoside phosphorylase	204
COG0006	Xaa-Pro aminopeptidase	403
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	100
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	393
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	156
COG0010	Arginase family enzyme	142
COG0011	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family	36
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	224
COG0013	Alanyl-tRNA synthetase	408
COG0014	Gamma-glutamyl phosphate reductase	146
COG0015	Adenylosuccinate lyase	272
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	172
COG0017	Aspartyl/asparaginyl-tRNA synthetase	150
COG0018	Arginyl-tRNA synthetase	283
COG0019	Diaminopimelate decarboxylase	325
COG0020	Undecaprenyl pyrophosphate synthase	234
COG0021	Transketolase	397
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	425
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	12
COG0024	Methionine aminopeptidase	171
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	83
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	42
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	26
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	1105
COG0029	Aspartate oxidase	188
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	151
COG0031	Cysteine synthase	394
COG0033	Phosphoglucomutase	186
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	258
COG0035	Uracil phosphoribosyltransferase	76
COG0036	Pentose-5-phosphate-3-epimerase	149
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	137
COG0038	H+/Cl- antiporter ClcA	59
COG0039	Malate/lactate dehydrogenase	171
COG0040	ATP phosphoribosyltransferase	128
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	112
COG0042	tRNA-dihydrouridine synthase	162
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	284
COG0044	Dihydroorotase or related cyclic amidohydrolase	408
COG0045	Succinyl-CoA synthetase, beta subunit	212
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	324
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	152
COG0048	Ribosomal protein S12	110
COG0049	Ribosomal protein S7	144
COG0050	Translation elongation factor EF-Tu, a GTPase	331
COG0051	Ribosomal protein S10	87
COG0052	Ribosomal protein S2	151
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	276
COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	95
COG0055	FoF1-type ATP synthase, beta subunit	253
COG0056	FoF1-type ATP synthase, alpha subunit	236
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	244
COG0058	Glucan phosphorylase	366
COG0059	Ketol-acid reductoisomerase	170
COG0060	Isoleucyl-tRNA synthetase	409
COG0061	NAD kinase	136
COG0062	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	99
COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	142
COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	240
COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	372
COG0066	3-isopropylmalate dehydratase small subunit	152
COG0067	Glutamate synthase domain 1	191
COG0068	Hydrogenase maturation factor HypF (carbamoyltransferase)	228
COG0069	Glutamate synthase domain 2	273
COG0070	Glutamate synthase domain 3	131
COG0071	Molecular chaperone IbpA, HSP20 family	174
COG0072	Phenylalanyl-tRNA synthetase beta subunit	299
COG0073	tRNA-binding EMAP/Myf domain	99
COG0074	Succinyl-CoA synthetase, alpha subunit	185
COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	239
COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	263
COG0077	Prephenate dehydratase	129
COG0078	Ornithine carbamoyltransferase	280
COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	328
COG0080	Ribosomal protein L11	97
COG0081	Ribosomal protein L1	147
COG0082	Chorismate synthase	186
COG0083	Homoserine kinase	87
COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	158
COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	547
COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	403
COG0087	Ribosomal protein L3	147
COG0088	Ribosomal protein L4	107
COG0089	Ribosomal protein L23	83
COG0090	Ribosomal protein L2	176
COG0091	Ribosomal protein L22	107
COG0092	Ribosomal protein S3	146
COG0093	Ribosomal protein L14	95
COG0094	Ribosomal protein L5	125
COG0095	Lipoate-protein ligase A	71
COG0096	Ribosomal protein S8	115
COG0097	Ribosomal protein L6P/L9E	132
COG0098	Ribosomal protein S5	101
COG0099	Ribosomal protein S13	118
COG0100	Ribosomal protein S11	94
COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	170
COG0102	Ribosomal protein L13	110
COG0103	Ribosomal protein S9	108
COG0104	Adenylosuccinate synthase	227
COG0105	Nucleoside diphosphate kinase	89
COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	132
COG0107	Imidazole glycerol phosphate synthase subunit HisF	146
COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	110
COG0109	Polyprenyltransferase (heme O synthase)	126
COG0110	Acetyltransferase (isoleucine patch superfamily)	214
COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	612
