COG ID	COG Name	Gene Count
COG0001	Glutamate-1-semialdehyde aminotransferase	25
COG0002	N-acetyl-gamma-glutamylphosphate reductase	20
COG0003	Anion-transporting ATPase, ArsA/GET3 family	2
COG0004	Ammonia channel protein AmtB	20
COG0005	Purine nucleoside phosphorylase	9
COG0006	Xaa-Pro aminopeptidase	30
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	11
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	48
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	24
COG0010	Arginase family enzyme	21
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	16
COG0013	Alanyl-tRNA synthetase	36
COG0014	Gamma-glutamyl phosphate reductase	15
COG0015	Adenylosuccinate lyase	18
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	16
COG0017	Aspartyl/asparaginyl-tRNA synthetase	10
COG0018	Arginyl-tRNA synthetase	19
COG0019	Diaminopimelate decarboxylase	33
COG0020	Undecaprenyl pyrophosphate synthase	13
COG0021	Transketolase	18
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	37
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	2
COG0024	Methionine aminopeptidase	15
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	6
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	26
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	7
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	48
COG0029	Aspartate oxidase	21
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	14
COG0031	Cysteine synthase	22
COG0033	Phosphoglucomutase	2
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	19
COG0035	Uracil phosphoribosyltransferase	9
COG0036	Pentose-5-phosphate-3-epimerase	11
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	22
COG0038	H+/Cl- antiporter ClcA	14
COG0039	Malate/lactate dehydrogenase	12
COG0040	ATP phosphoribosyltransferase	13
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	13
COG0042	tRNA-dihydrouridine synthase	26
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	14
COG0044	Dihydroorotase or related cyclic amidohydrolase	25
COG0045	Succinyl-CoA synthetase, beta subunit	21
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	21
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	13
COG0048	Ribosomal protein S12	9
COG0049	Ribosomal protein S7	11
COG0050	Translation elongation factor EF-Tu, a GTPase	19
COG0051	Ribosomal protein S10	10
COG0052	Ribosomal protein S2	12
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	6
COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	13
COG0055	FoF1-type ATP synthase, beta subunit	22
COG0056	FoF1-type ATP synthase, alpha subunit	20
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	24
COG0058	Glucan phosphorylase	14
COG0059	Ketol-acid reductoisomerase	15
COG0060	Isoleucyl-tRNA synthetase	32
COG0061	NAD kinase	16
COG0062	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	9
COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	14
COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	13
COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	22
COG0066	3-isopropylmalate dehydratase small subunit	16
COG0067	Glutamate synthase domain 1	18
COG0068	Hydrogenase maturation factor HypF (carbamoyltransferase)	5
COG0069	Glutamate synthase domain 2	29
COG0070	Glutamate synthase domain 3	13
COG0071	Molecular chaperone IbpA, HSP20 family	16
COG0072	Phenylalanyl-tRNA synthetase beta subunit	24
COG0073	tRNA-binding EMAP/Myf domain	19
COG0074	Succinyl-CoA synthetase, alpha subunit	13
COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	7
COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	14
COG0077	Prephenate dehydratase	15
COG0078	Ornithine carbamoyltransferase	22
COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	27
COG0080	Ribosomal protein L11	8
COG0081	Ribosomal protein L1	9
COG0082	Chorismate synthase	20
COG0083	Homoserine kinase	7
COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	26
COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	29
COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	21
COG0087	Ribosomal protein L3	14
COG0088	Ribosomal protein L4	11
COG0089	Ribosomal protein L23	8
COG0090	Ribosomal protein L2	18
COG0091	Ribosomal protein L22	9
COG0092	Ribosomal protein S3	6
COG0093	Ribosomal protein L14	11
COG0094	Ribosomal protein L5	17
COG0095	Lipoate-protein ligase A	3
COG0096	Ribosomal protein S8	11
COG0097	Ribosomal protein L6P/L9E	13
COG0098	Ribosomal protein S5	11
COG0099	Ribosomal protein S13	8
COG0100	Ribosomal protein S11	9
COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	18
COG0102	Ribosomal protein L13	13
COG0103	Ribosomal protein S9	11
COG0104	Adenylosuccinate synthase	20
COG0105	Nucleoside diphosphate kinase	9
COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	16
COG0107	Imidazole glycerol phosphate synthase subunit HisF	13
COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	11
COG0109	Polyprenyltransferase (heme O synthase)	16
COG0110	Acetyltransferase (isoleucine patch superfamily)	13
COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	32
COG0112	Glycine/serine hydroxymethyltransferase	20
COG0113	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	20
COG0114	Fumarate hydratase class II	17
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	35
COG0116	23S rRNA G2445 N2-methylase RlmL	9
COG0117	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD	10
COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	12
COG0119	Isopropylmalate/homocitrate/citramalate synthases	32
COG0120	Ribose 5-phosphate isomerase	12
COG0121	Predicted glutamine amidotransferase	2
COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	15
COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase	24
COG0124	Histidyl-tRNA synthetase	18
COG0125	Thymidylate kinase	9
COG0126	3-phosphoglycerate kinase	18
COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	14
COG0128	5-enolpyruvylshikimate-3-phosphate synthase	19
COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	40
COG0130	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	15
COG0131	Imidazoleglycerol phosphate dehydratase HisB	13
COG0132	Dethiobiotin synthetase	10
COG0133	Tryptophan synthase beta chain	17
COG0134	Indole-3-glycerol phosphate synthase	21
COG0135	Phosphoribosylanthranilate isomerase	16
COG0136	Aspartate-semialdehyde dehydrogenase	22
COG0137	Argininosuccinate synthase	17
COG0138	AICAR transformylase/IMP cyclohydrolase PurH	22
COG0139	Phosphoribosyl-AMP cyclohydrolase	8
COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	10
COG0141	Histidinol dehydrogenase	13
COG0142	Geranylgeranyl pyrophosphate synthase	36
COG0143	Methionyl-tRNA synthetase	22
COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	20
COG0145	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	6
COG0146	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit	14
COG0147	Anthranilate/para-aminobenzoate synthases component I	34
COG0148	Enolase	15
COG0149	Triosephosphate isomerase	16
COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	16
COG0151	Phosphoribosylamine-glycine ligase	19
COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase	15
COG0153	Galactokinase	8
COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	47
COG0155	Sulfite reductase, beta subunit (hemoprotein)	16
COG0156	7-keto-8-aminopelargonate synthetase or related enzyme	36
COG0157	Nicotinate-nucleotide pyrophosphorylase	16
COG0158	Fructose-1,6-bisphosphatase	13
COG0159	Tryptophan synthase alpha chain	12
COG0160	4-aminobutyrate aminotransferase or related aminotransferase	9
COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	30
COG0162	Tyrosyl-tRNA synthetase	20
COG0163	3-polyprenyl-4-hydroxybenzoate decarboxylase	4
COG0164	Ribonuclease HII	9
COG0165	Argininosuccinate lyase	19
COG0166	Glucose-6-phosphate isomerase	25
COG0167	Dihydroorotate dehydrogenase	20
COG0168	Trk-type K+ transport system, membrane component	5
COG0169	Shikimate 5-dehydrogenase	21
COG0171	NH3-dependent NAD+ synthetase	12
COG0172	Seryl-tRNA synthetase	21
COG0173	Aspartyl-tRNA synthetase	22
COG0174	Glutamine synthetase	41
COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	27
COG0176	Transaldolase	15
COG0177	Endonuclease III	14
COG0178	Excinuclease UvrABC ATPase subunit	63
COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	35
COG0180	Tryptophanyl-tRNA synthetase	18
COG0181	Porphobilinogen deaminase	15
COG0182	Methylthioribose-1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit	10
COG0183	Acetyl-CoA acetyltransferase	74
COG0184	Ribosomal protein S15P/S13E	11
COG0185	Ribosomal protein S19	10
COG0186	Ribosomal protein S17	10
COG0187	DNA gyrase/topoisomerase IV, subunit B	47
COG0188	DNA gyrase/topoisomerase IV, subunit A	52
COG0189	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily	15
COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	22
COG0191	Fructose/tagatose bisphosphate aldolase	8
COG0192	S-adenosylmethionine synthetase	16
COG0193	Peptidyl-tRNA hydrolase	11
COG0194	Guanylate kinase	15
COG0195	Transcription antitermination factor NusA, contains S1 and KH domains	10
COG0196	FAD synthase	20
