COG ID	COG Name	Gene Count
COG0001	Glutamate-1-semialdehyde aminotransferase	66
COG0002	N-acetyl-gamma-glutamylphosphate reductase	36
COG0003	Anion-transporting ATPase, ArsA/GET3 family	5
COG0004	Ammonia channel protein AmtB	43
COG0005	Purine nucleoside phosphorylase	27
COG0006	Xaa-Pro aminopeptidase	63
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	10
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	69
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	66
COG0010	Arginase family enzyme	46
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	42
COG0013	Alanyl-tRNA synthetase	76
COG0014	Gamma-glutamyl phosphate reductase	28
COG0015	Adenylosuccinate lyase	53
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	37
COG0017	Aspartyl/asparaginyl-tRNA synthetase	19
COG0018	Arginyl-tRNA synthetase	59
COG0019	Diaminopimelate decarboxylase	64
COG0020	Undecaprenyl pyrophosphate synthase	47
COG0021	Transketolase	68
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	64
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	4
COG0024	Methionine aminopeptidase	43
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	2
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	45
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	6
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	82
COG0029	Aspartate oxidase	31
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	37
COG0031	Cysteine synthase	45
COG0033	Phosphoglucomutase	4
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	49
COG0035	Uracil phosphoribosyltransferase	25
COG0036	Pentose-5-phosphate-3-epimerase	40
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	45
COG0038	H+/Cl- antiporter ClcA	8
COG0039	Malate/lactate dehydrogenase	33
COG0040	ATP phosphoribosyltransferase	31
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	29
COG0042	tRNA-dihydrouridine synthase	51
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	12
COG0044	Dihydroorotase or related cyclic amidohydrolase	72
COG0045	Succinyl-CoA synthetase, beta subunit	47
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	61
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	29
COG0048	Ribosomal protein S12	24
COG0049	Ribosomal protein S7	26
COG0050	Translation elongation factor EF-Tu, a GTPase	36
COG0051	Ribosomal protein S10	25
COG0052	Ribosomal protein S2	35
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	18
COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	33
COG0055	FoF1-type ATP synthase, beta subunit	50
COG0056	FoF1-type ATP synthase, alpha subunit	49
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	56
COG0058	Glucan phosphorylase	23
COG0059	Ketol-acid reductoisomerase	31
COG0060	Isoleucyl-tRNA synthetase	82
COG0061	NAD kinase	32
COG0062	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	7
COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	24
COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	44
COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	44
COG0066	3-isopropylmalate dehydratase small subunit	27
COG0067	Glutamate synthase domain 1	38
COG0069	Glutamate synthase domain 2	54
COG0070	Glutamate synthase domain 3	29
COG0071	Molecular chaperone IbpA, HSP20 family	9
COG0072	Phenylalanyl-tRNA synthetase beta subunit	60
COG0073	tRNA-binding EMAP/Myf domain	38
COG0074	Succinyl-CoA synthetase, alpha subunit	37
COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	15
COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	28
COG0077	Prephenate dehydratase	39
COG0078	Ornithine carbamoyltransferase	39
COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	43
COG0080	Ribosomal protein L11	29
COG0081	Ribosomal protein L1	30
COG0082	Chorismate synthase	41
COG0083	Homoserine kinase	19
COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	45
COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	117
COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	79
COG0087	Ribosomal protein L3	33
COG0088	Ribosomal protein L4	28
COG0089	Ribosomal protein L23	29
COG0090	Ribosomal protein L2	38
COG0091	Ribosomal protein L22	29
COG0092	Ribosomal protein S3	33
COG0093	Ribosomal protein L14	23
COG0094	Ribosomal protein L5	28
COG0095	Lipoate-protein ligase A	10
COG0096	Ribosomal protein S8	26
COG0097	Ribosomal protein L6P/L9E	33
COG0098	Ribosomal protein S5	33
COG0099	Ribosomal protein S13	30
COG0100	Ribosomal protein S11	24
COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	37
COG0102	Ribosomal protein L13	28
COG0103	Ribosomal protein S9	27
COG0104	Adenylosuccinate synthase	50
COG0105	Nucleoside diphosphate kinase	26
COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	36
COG0107	Imidazole glycerol phosphate synthase subunit HisF	42
COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	37
COG0109	Polyprenyltransferase (heme O synthase)	40
COG0110	Acetyltransferase (isoleucine patch superfamily)	31
COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	101
COG0112	Glycine/serine hydroxymethyltransferase	51
COG0113	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	17
COG0114	Fumarate hydratase class II	34
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	80
COG0116	23S rRNA G2445 N2-methylase RlmL	17
COG0117	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD	31
COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	31
COG0119	Isopropylmalate/homocitrate/citramalate synthases	78
COG0120	Ribose 5-phosphate isomerase	12
COG0121	Predicted glutamine amidotransferase	7
COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	19
COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase	30
COG0124	Histidyl-tRNA synthetase	44
COG0125	Thymidylate kinase	25
COG0126	3-phosphoglycerate kinase	45
COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	35
COG0128	5-enolpyruvylshikimate-3-phosphate synthase	53
COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	84
COG0130	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	39
COG0131	Imidazoleglycerol phosphate dehydratase HisB	23
COG0132	Dethiobiotin synthetase	8
COG0133	Tryptophan synthase beta chain	38
COG0134	Indole-3-glycerol phosphate synthase	23
COG0135	Phosphoribosylanthranilate isomerase	15
COG0136	Aspartate-semialdehyde dehydrogenase	53
COG0137	Argininosuccinate synthase	47
COG0138	AICAR transformylase/IMP cyclohydrolase PurH	47
COG0139	Phosphoribosyl-AMP cyclohydrolase	24
COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	19
COG0141	Histidinol dehydrogenase	41
COG0142	Geranylgeranyl pyrophosphate synthase	83
COG0143	Methionyl-tRNA synthetase	63
COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	51
COG0145	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	14
COG0146	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit	19
COG0147	Anthranilate/para-aminobenzoate synthases component I	61
COG0148	Enolase	52
COG0149	Triosephosphate isomerase	33
COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	32
COG0151	Phosphoribosylamine-glycine ligase	44
COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase	34
COG0153	Galactokinase	25
COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	88
COG0155	Sulfite reductase, beta subunit (hemoprotein)	11
COG0156	7-keto-8-aminopelargonate synthetase or related enzyme	53
COG0157	Nicotinate-nucleotide pyrophosphorylase	27
COG0158	Fructose-1,6-bisphosphatase	14
COG0159	Tryptophan synthase alpha chain	32
COG0160	4-aminobutyrate aminotransferase or related aminotransferase	45
COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	50
COG0162	Tyrosyl-tRNA synthetase	50
COG0163	3-polyprenyl-4-hydroxybenzoate decarboxylase	3
COG0164	Ribonuclease HII	32
COG0165	Argininosuccinate lyase	43
COG0166	Glucose-6-phosphate isomerase	40
COG0167	Dihydroorotate dehydrogenase	51
COG0168	Trk-type K+ transport system, membrane component	17
COG0169	Shikimate 5-dehydrogenase	49
COG0170	Dolichol kinase	3
COG0171	NH3-dependent NAD+ synthetase	39
COG0172	Seryl-tRNA synthetase	51
COG0173	Aspartyl-tRNA synthetase	53
COG0174	Glutamine synthetase	86
COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	26
COG0176	Transaldolase	35
COG0177	Endonuclease III	29
COG0178	Excinuclease UvrABC ATPase subunit	115
COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	74
COG0180	Tryptophanyl-tRNA synthetase	47
COG0181	Porphobilinogen deaminase	23
COG0182	Methylthioribose-1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit	3
COG0183	Acetyl-CoA acetyltransferase	90
COG0184	Ribosomal protein S15P/S13E	21
COG0185	Ribosomal protein S19	28
COG0186	Ribosomal protein S17	27
COG0187	DNA gyrase/topoisomerase IV, subunit B	126
COG0188	DNA gyrase/topoisomerase IV, subunit A	131
COG0189	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily	26
COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	41
COG0191	Fructose/tagatose bisphosphate aldolase	37
COG0192	S-adenosylmethionine synthetase	54
COG0193	Peptidyl-tRNA hydrolase	30
COG0194	Guanylate kinase	39
COG0195	Transcription antitermination factor NusA, contains S1 and KH domains	35
COG0196	FAD synthase	39
COG0197	Ribosomal protein L16/L10AE	27
COG0198	Ribosomal protein L24	21
COG0199	Ribosomal protein S14	19
COG0200	Ribosomal protein L15	26
COG0201	Preprotein translocase subunit SecY	49
COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	35
COG0203	Ribosomal protein L17	30
COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	90
COG0205	6-phosphofructokinase	29
COG0206	Cell division GTPase FtsZ	35
COG0207	Thymidylate synthase	28
COG0208	Ribonucleotide reductase beta subunit, ferritin-like domain	24
COG0209	Ribonucleotide reductase alpha subunit	73
COG0210	Superfamily I DNA or RNA helicase	135
COG0211	Ribosomal protein L27	23
COG0212	5-formyltetrahydrofolate cyclo-ligase	24
COG0213	Thymidine phosphorylase	18
COG0214	Pyridoxal biosynthesis lyase PdxS	17
COG0215	Cysteinyl-tRNA synthetase	79
COG0216	Protein chain release factor A	44
COG0217	Transcriptional and/or translational regulatory protein YebC/TACO1	41
COG0218	GTP-binding protein EngB required for normal cell division	17
COG0219	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain	12
COG0220	tRNA G46 methylase TrmB	24
COG0221	Inorganic pyrophosphatase	29
COG0222	Ribosomal protein L7/L12	25
COG0223	Methionyl-tRNA formyltransferase	47
COG0224	FoF1-type ATP synthase, gamma subunit	39
COG0225	Peptide methionine sulfoxide reductase MsrA	34
COG0226	ABC-type phosphate transport system, periplasmic component	32
COG0227	Ribosomal protein L28	17
COG0228	Ribosomal protein S16	21
COG0229	Peptide methionine sulfoxide reductase MsrB	34
COG0230	Ribosomal protein L34	13
COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	29
COG0232	dGTP triphosphohydrolase	26
COG0233	Ribosome recycling factor	32
COG0234	Co-chaperonin GroES (HSP10)	32
COG0235	Ribulose-5-phosphate 4-epimerase/Fuculose-1-phosphate aldolase	23
COG0236	Acyl carrier protein	27
COG0237	Dephospho-CoA kinase	31
COG0238	Ribosomal protein S18	24
COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation	31
COG0240	Glycerol-3-phosphate dehydrogenase	42
COG0241	Histidinol phosphatase or a related phosphatase	19
COG0242	Peptide deformylase	37
COG0243	Anaerobic selenocysteine-containing dehydrogenase	28
COG0244	Ribosomal protein L10	29
COG0245	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	27
COG0246	Mannitol-1-phosphate/altronate dehydrogenases	9
COG0247	Fe-S oxidoreductase	61
COG0248	Exopolyphosphatase/pppGpp-phosphohydrolase	48
COG0249	DNA mismatch repair ATPase MutS	51
COG0250	Transcription antitermination factor NusG	32
COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	45
COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	15
COG0253	Diaminopimelate epimerase	37
COG0254	Ribosomal protein L31	22
COG0255	Ribosomal protein L29	21
COG0256	Ribosomal protein L18	25
COG0257	Ribosomal protein L36	4
COG0258	5'-3' exonuclease	49
COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase	31
COG0260	Leucyl aminopeptidase	56
COG0261	Ribosomal protein L21	22
COG0262	Dihydrofolate reductase	15
COG0263	Glutamate 5-kinase	31
COG0264	Translation elongation factor EF-Ts	38
COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	108
COG0266	Formamidopyrimidine-DNA glycosylase	35
COG0267	Ribosomal protein L33	13
COG0268	Ribosomal protein S20	21
COG0269	3-keto-L-gulonate-6-phosphate decarboxylase	7
COG0270	Site-specific DNA-cytosine methylase	41
COG0271	Stress-induced morphogen (activity unknown)	10
COG0272	NAD-dependent DNA ligase	79
COG0274	Deoxyribose-phosphate aldolase	24
COG0275	16S rRNA C1402 N4-methylase RsmH	36
COG0276	Protoheme ferro-lyase (ferrochelatase)	19
COG0277	FAD/FMN-containing dehydrogenase	91
COG0278	Glutaredoxin-related protein	7
COG0279	Phosphoheptose isomerase	19
COG0280	Phosphotransacetylase	31
COG0281	Malic enzyme	52
COG0282	Acetate kinase	9
COG0283	Cytidylate kinase	35
COG0284	Orotidine-5'-phosphate decarboxylase	27
COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase	41
COG0286	Type I restriction-modification system, DNA methylase subunit	32
COG0287	Prephenate dehydrogenase	29
COG0288	Carbonic anhydrase	29
COG0289	Dihydrodipicolinate reductase	36
COG0290	Translation initiation factor IF-3	30
COG0291	Ribosomal protein L35	19
COG0292	Ribosomal protein L20	23
COG0293	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ	14
COG0294	Dihydropteroate synthase	35
COG0295	Cytidine deaminase	20
COG0296	1,4-alpha-glucan branching enzyme	28
COG0297	Glycogen synthase	13
COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	26
COG0300	Short-chain dehydrogenase	70
COG0302	GTP cyclohydrolase I	36
COG0303	Molybdopterin biosynthesis enzyme	30
COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	64
COG0305	Replicative DNA helicase	52
COG0306	Phosphate/sulfate permease	13
COG0307	Riboflavin synthase alpha chain	31
COG0308	Aminopeptidase N	78
COG0310	ABC-type Co2+ transport system, permease component	11
COG0311	Glutamine amidotransferase PdxT (pyridoxal biosynthesis)	13
COG0312	Predicted Zn-dependent protease or its inactivated homolog	34
COG0313	16S rRNA C1402 (ribose-2'-O) methylase RsmI	49
COG0314	Molybdopterin synthase catalytic subunit	12
COG0315	Molybdenum cofactor biosynthesis enzyme	11
COG0316	Fe-S cluster assembly iron-binding protein IscA	37
COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	93
COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	145
COG0319	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	30
COG0320	Lipoate synthase	42
COG0321	Lipoate-protein ligase B	26
COG0322	Excinuclease UvrABC, nuclease subunit	73
COG0323	DNA mismatch repair ATPase MutL	29
COG0324	tRNA A37 N6-isopentenylltransferase MiaA	44
COG0325	Uncharacterized pyridoxal phosphate-containing protein, affects Ilv metabolism, UPF0001 family	34
COG0326	Molecular chaperone, HSP90 family	29
COG0327	Putative GTP cyclohydrolase 1 type 2, NIF3 family	20
COG0328	Ribonuclease HI	33
COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	70
COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily	49
COG0331	Malonyl CoA-acyl carrier protein transacylase	35
COG0332	3-oxoacyl-[acyl-carrier-protein] synthase III	51
COG0333	Ribosomal protein L32	16
COG0334	Glutamate dehydrogenase/leucine dehydrogenase	41
COG0335	Ribosomal protein L19	24
COG0336	tRNA G37 N-methylase TrmD	31
COG0337	3-dehydroquinate synthetase	38
COG0338	Site-specific DNA-adenine methylase	6
COG0339	Zn-dependent oligopeptidase	39
COG0340	Biotin-(acetyl-CoA carboxylase) ligase	25
COG0341	Preprotein translocase subunit SecF	37
COG0342	Preprotein translocase subunit SecD	49
COG0343	Queuine/archaeosine tRNA-ribosyltransferase	42
COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	21
COG0345	Pyrroline-5-carboxylate reductase	28
COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	36
COG0347	Nitrogen regulatory protein PII	31
COG0348	Polyferredoxin	14
COG0349	Ribonuclease D	27
COG0350	O6-methylguanine-DNA--protein-cysteine methyltransferase	24
COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	12
COG0352	Thiamine monophosphate synthase	9
COG0353	Recombinational DNA repair protein RecR	38
COG0354	Folate-binding Fe-S cluster repair protein YgfZ, possible role in tRNA modification	26
COG0355	FoF1-type ATP synthase, epsilon subunit	23
COG0356	FoF1-type ATP synthase, membrane subunit a	38
COG0357	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	27
COG0358	DNA primase (bacterial type)	48
COG0359	Ribosomal protein L9	33
COG0360	Ribosomal protein S6	23
COG0361	Translation initiation factor IF-1	23
COG0362	6-phosphogluconate dehydrogenase	9
COG0363	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	24
COG0364	Glucose-6-phosphate 1-dehydrogenase	26
COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	114
COG0366	Glycosidase	52
COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	30
COG0368	Cobalamin synthase	3
COG0369	Sulfite reductase, alpha subunit (flavoprotein)	3
COG0370	Fe2+ transport system protein B	28
COG0371	Glycerol dehydrogenase or related enzyme, iron-containing ADH family	1
COG0372	Citrate synthase	54
COG0373	Glutamyl-tRNA reductase	22
COG0376	Catalase (peroxidase I)	62
COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit (chhain B) or related Fe-S oxidoreductase	31
COG0378	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase	1
COG0379	Quinolinate synthase	26
COG0380	Trehalose-6-phosphate synthase	1
COG0381	UDP-N-acetylglucosamine 2-epimerase	30
COG0382	4-hydroxybenzoate polyprenyltransferase	54
COG0383	Alpha-mannosidase	2
COG0384	Predicted epimerase YddE/YHI9, PhzF superfamily	12
COG0385	Predicted Na+-dependent transporter	20
COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	24
COG0387	Ca2+/H+ antiporter	2
COG0388	Predicted amidohydrolase	83
COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair	48
COG0391	Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family	12
COG0392	Uncharacterized membrane protein YbhN, UPF0104 family	10
COG0393	Uncharacterized conserved protein YbjQ, UPF0145 family	1
COG0394	Protein-tyrosine-phosphatase	37
COG0395	ABC-type glycerol-3-phosphate transport system, permease component	68
COG0396	Fe-S cluster assembly ATPase SufC	26
COG0397	Uncharacterized conserved protein YdiU, UPF0061 family	10
COG0398	Uncharacterized membrane protein YdjX, TVP38/TMEM64 family, SNARE-associated domain	4
COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase	101
COG0400	Predicted esterase	11
COG0402	Cytosine/adenosine deaminase or related metal-dependent hydrolase	16
COG0403	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain	42
COG0404	Glycine cleavage system T protein (aminomethyltransferase)	61
COG0405	Gamma-glutamyltranspeptidase	37
COG0406	Broad specificity phosphatase PhoE	66
COG0407	Uroporphyrinogen-III decarboxylase	25
COG0408	Coproporphyrinogen III oxidase	21
COG0410	ABC-type branched-chain amino acid transport system, ATPase component	58
COG0411	ABC-type branched-chain amino acid transport system, ATPase component	53
COG0412	Dienelactone hydrolase	34
COG0413	Ketopantoate hydroxymethyltransferase	39
COG0414	Panthothenate synthetase	35
COG0415	Deoxyribodipyrimidine photolyase	78
COG0416	Fatty acid/phospholipid biosynthesis enzyme	21
COG0417	DNA polymerase elongation subunit (family B)	11
COG0418	Dihydroorotase	13
COG0419	DNA repair exonuclease SbcCD ATPase subunit	10
COG0420	DNA repair exonuclease SbcCD nuclease subunit	8
COG0421	Spermidine synthase	16
COG0422	Thiamine biosynthesis protein ThiC	8
COG0423	Glycyl-tRNA synthetase (class II)	40
COG0424	Predicted house-cleaning NTP pyrophosphatase, Maf/HAM1 superfamily	43
COG0425	TusA-related sulfurtransferase	4
COG0427	Acyl-CoA hydrolase	6
COG0428	Zinc transporter ZupT	19
COG0429	Predicted hydrolase of the alpha/beta-hydrolase fold	10
COG0430	RNA 3'-terminal phosphate cyclase	1
COG0431	NAD(P)H-dependent FMN reductase	12
COG0432	Thiamin phosphate synthase YjbQ, UPF0047 family	2
COG0433	Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains	8
COG0434	Predicted TIM-barrel enzyme	3
COG0436	Aspartate/methionine/tyrosine aminotransferase	138
COG0437	Fe-S-cluster-containing dehydrogenase component	14
COG0438	Glycosyltransferase involved in cell wall bisynthesis	243
COG0439	Biotin carboxylase	15
COG0440	Acetolactate synthase, small subunit	24
COG0441	Threonyl-tRNA synthetase	68
COG0442	Prolyl-tRNA synthetase	50
COG0443	Molecular chaperone DnaK (HSP70)	95
COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	21
COG0445	tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA	48
COG0446	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	36
COG0447	1,4-Dihydroxy-2-naphthoyl-CoA synthase	25
COG0448	ADP-glucose pyrophosphorylase	16
COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	59
COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	14
COG0451	Nucleoside-diphosphate-sugar epimerase	237
COG0452	Phosphopantothenoylcysteine synthetase/decarboxylase	45
COG0454	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)	29
COG0455	MinD-like ATPase involved in chromosome partitioning or flagellar assembly	8
COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	66
COG0457	Tetratricopeptide (TPR) repeat	89
COG0458	Carbamoylphosphate synthase large subunit	80
COG0459	Chaperonin GroEL (HSP60 family)	76
COG0460	Homoserine dehydrogenase	33
COG0461	Orotate phosphoribosyltransferase	33
COG0462	Phosphoribosylpyrophosphate synthetase	54
COG0463	Glycosyltransferase involved in cell wall bisynthesis	159
COG0464	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family	8
COG0465	ATP-dependent Zn proteases	66
COG0466	ATP-dependent Lon protease, bacterial type	54
COG0468	RecA/RadA recombinase	37
COG0469	Pyruvate kinase	48
COG0470	DNA polymerase III, delta prime subunit	11
COG0471	Di- and tricarboxylate transporter	18
COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	85
COG0473	Isocitrate/isopropylmalate dehydrogenase	56
COG0474	Magnesium-transporting ATPase (P-type)	31
COG0475	Kef-type K+ transport system, membrane component KefB	34
COG0476	Molybdopterin or thiamine biosynthesis adenylyltransferase	24
COG0477	MFS family permease	230
COG0479	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	36
COG0480	Translation elongation factor EF-G, a GTPase	73
COG0481	Translation elongation factor EF-4, membrane-bound GTPase	64
COG0482	tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain	41
COG0483	Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family	55
COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	81
COG0486	tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE	30
COG0488	ATPase components of ABC transporters with duplicated ATPase domains	187
COG0489	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster	62
COG0490	K+/H+ antiporter YhaU, regulatory subunit KhtT	2
COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	103
COG0492	Thioredoxin reductase	65
COG0493	NADPH-dependent glutamate synthase beta chain or related oxidoreductase	52
COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	94
COG0495	Leucyl-tRNA synthetase	71
